评分,评论内容,评论时间,商品规格,清洗后评论,分词后评论,来源文件
1,给我妈妈买的，操作流畅，机身颜值高，很适合,2026年2月24日,"{'机身颜色': '星辉白', '存储容量': '8GB+128GB'}",给我妈妈买的操作流畅机身颜值高很适合,妈妈 操作 流畅 机身 颜值 适合,商品8.csv
1,手机给我妈买的，好用，声音清晰，我爸需要再来,2026年2月28日,"{'机身颜色': '子夜黑', '存储容量': '6GB+128GB'}",手机给我妈买的好用声音清晰我爸需要再来,手机 声音 清晰 我爸 需要,商品8.csv
-1,2月1号下单，2月2号拿到，拿到手机当天激活开始使用 使用频率和之前的旧手机一样，下载的软件也是一模一样，旧手机用的是好几年前vivo，时间长了卡顿了才换的新机，对比了好几款，最终选择了小米，最早以前用过红米1，想着产品应该是让人放心的。刚开始激活用着确实挺流畅，当时还想用几天看看情况，要不过段时间给孩子也买个同款，可是天不遂人愿 2月18号大年初二晚上这手机就开始撂挑子了，在电量70的情况下，开始自动关机重启，连续几次，在这期间WiFi也不能正常连接，不停的连接断开连接又断开，家里几个人一共有七八部手机都正常，就小米这个手机就不合适，网络不合适，还自动关机，后来不用他了，终于不自动关机重启了，可是网络继续不合适，联系客服，退货也不同意，客服告诉我要去线下实体店检测，大年初二的晚上10点多，我到哪里去检测？而且我人还在外地，好不容易等我回家了去检测，这手机又可以正常用了，又没问题了，拿去线下检测，人家说没问题，这个情况要不然就刷机看看，这就很离谱，没问题我当时为什么出问题了？？？新买的手机才用半个月，你告诉我刷个机！？感觉买了个组装机！！！ 大家对小米的产品慎重选择！慎重考虑,2026年2月21日,"{'机身颜色': '子夜黑', '存储容量': '8GB+256GB'}",月号下单月号拿到拿到手机当天激活开始使用 使用频率和之前的旧手机一样下载的软件也是一模一样旧手机用的是好几年前时间长了卡顿了才换的新机对比了好几款最终选择了小米最早以前用过红米想着产品应该是让人放心的刚开始激活用着确实挺流畅当时还想用几天看看情况要不过段时间给孩子也买个同款可是天不遂人愿 月号大年初二晚上这手机就开始撂挑子了在电量的情况下开始自动关机重启连续几次在这期间也不能正常连接不停的连接断开连接又断开家里几个人一共有七八部手机都正常就小米这个手机就不合适网络不合适还自动关机后来不用他了终于不自动关机重启了可是网络继续不合适联系客服退货也不同意客服告诉我要去线下实体店检测大年初二的晚上点多我到哪里去检测而且我人还在外地好不容易等我回家了去检测这手机又可以正常用了又没问题了拿去线下检测人家说没问题这个情况要不然就刷机看看这就很离谱没问题我当时为什么出问题了新买的手机才用半个月你告诉我刷个机感觉买了个组装机 大家对小米的产品慎重选择慎重考虑,下单 拿到 拿到 手机 当天 激活 开始 使用 使用 频率 之前 手机 一样 下载 软件 一模一样 手机 好几年 时间 卡顿 新机 对比 几款 最终 选择 小米 最早 以前 用过 红米 想着 产品 应该 放心 开始 激活 确实 流畅 当时 几天 看看 情况 不过 段时间 孩子 买个 同款 可是 不遂 大年初二 晚上 手机 开始 撂挑子 电量 情况 开始 自动关机 重启 连续 几次 期间 不能 正常 连接 不停 连接 断开连接 断开 家里 几个 一共 七八 部手机 正常 小米 这个 手机 合适 网络 合适 自动关机 后来 不用 终于 自动关机 重启 可是 网络 继续 合适 联系 客服 退货 同意 客服 告诉 我要 线下 实体店 检测 大年初二 晚上 点多 哪里 检测 而且 我人 外地 好不容易 回家 检测 手机 可以 正常 问题 线下 检测 人家 问题 这个 情况 要不然 刷机 看看 离谱 问题 当时 为什么 问题 手机 半个 告诉 我刷 个机 感觉 组装机 大家 小米 产品 慎重 选择 慎重考虑,商品8.csv
1,这个手机挺好的 就是卡槽两个卡的卡的尺寸不一样 有个还要去营业厅更换 要是购买前要问清楚卡槽位置大小吧 不过这个手机曲面屏 也好 手机还可以,2026年2月21日,"{'机身颜色': '星辉白', '存储容量': '8GB+128GB'}",这个手机挺好的 就是卡槽两个卡的卡的尺寸不一样 有个还要去营业厅更换 要是购买前要问清楚卡槽位置大小吧 不过这个手机曲面屏 也好 手机还可以,这个 手机 就是 卡槽 两个 尺寸 一样 有个 还要 营业厅 更换 要是 购买 前要 清楚 卡槽 位置 大小 不过 这个 手机 曲面 也好 手机 可以,商品8.csv
1,商家发货速度很快，屏幕清晰度很好续航能力超强拍照色彩度很好拍出来的照片好看系统流畅不卡顿真是很喜欢,2025年12月30日,"{'机身颜色': '子夜黑', '存储容量': '8GB+128GB'}",商家发货速度很快屏幕清晰度很好续航能力超强拍照色彩度很好拍出来的照片好看系统流畅不卡顿真是很喜欢,商家 发货 速度 很快 屏幕 清晰度 续航 能力 超强 拍照 色彩 出来 照片 好看 系统 流畅 不卡顿 真是 喜欢,商品8.csv
1,质量杠杠的，设计美观大方，商家快递服务赞，体验很棒，物流服务好，性价比高，爱了爱了！,2026年2月5日,"{'机身颜色': '子夜黑', '存储容量': '6GB+128GB'}",质量杠杠的设计美观大方商家快递服务赞体验很棒物流服务好性价比高爱了爱了,质量 杠杠 设计 美观大方 商家 快递 服务 体验 很棒 物流 服务 性价比 高爱,商品8.csv
1,很好 显示效果： 其他特色：手机上不是可能是看到没就像你什么事,2026年2月9日,"{'机身颜色': '星辉白', '存储容量': '6GB+128GB'}",很好 显示效果 其他特色手机上不是可能是看到没就像你什么事,显示 效果 其他 特色 手机 不是 可能 看到 什么,商品8.csv
1,红米note15，外观上档次，用起来非常流畅，隔天送到，好评。,2026年3月5日,"{'机身颜色': '天青蓝', '存储容量': '8GB+128GB'}",红米外观上档次用起来非常流畅隔天送到好评,红米 外观 上档次 起来 非常 流畅 隔天 送到 好评,商品8.csv
1,手机挺好的，运行流畅，给孩子用的，孩子很喜欢,2026年2月23日,"{'机身颜色': '星辉白', '存储容量': '6GB+128GB'}",手机挺好的运行流畅给孩子用的孩子很喜欢,手机 运行 流畅 孩子 孩子 喜欢,商品8.csv
1,发的顺风快递，个人喜欢白色，颜值很高，好用，看视频啥的基本不卡，电池也大，过段时间在买个其他配置的，小米天猫官方旗舰店发货，值得信赖。,2026年2月4日,"{'机身颜色': '星辉白', '存储容量': '8GB+128GB'}",发的顺风快递个人喜欢白色颜值很高好用看视频啥的基本不卡电池也大过段时间在买个其他配置的小米天猫官方旗舰店发货值得信赖,顺风 快递 个人 喜欢 白色 颜值 视频 基本 不卡 电池 过段时间 买个 其他 配置 小米 天猫 官方 旗舰店 发货 值得 信赖,商品8.csv
1,手机质量很好 用着不错给孩子买的平时玩游戏也不卡拍照也很清晰颜色好看内存足够用,2026年1月14日,"{'机身颜色': '星辉白', '存储容量': '8GB+128GB'}",手机质量很好 用着不错给孩子买的平时玩游戏也不卡拍照也很清晰颜色好看内存足够用,手机 质量 不错 孩子 平时 玩游戏 不卡 拍照 清晰 颜色 好看 内存 足够,商品8.csv
1,春节前后是换机小高峰。推出“新春版”，名字应景，新配色也符合节日送礼或自用求新的心理，是一种非常应时的营销手段。,2026年1月12日,"{'机身颜色': '星辉白', '存储容量': '8GB+128GB'}",春节前后是换机小高峰推出新春版名字应景新配色也符合节日送礼或自用求新的心理是一种非常应时的营销手段,春节 前后 换机 高峰 推出 新春 名字 应景 配色 符合 节日 送礼 自用 求新 心理 一种 非常 应时 营销 手段,商品8.csv
1,手感好颜值高，屏幕清晰，系统流畅，大 电池一天一充无压力，千元机里的王者!,2026年2月8日,"{'机身颜色': '子夜黑', '存储容量': '6GB+128GB'}",手感好颜值高屏幕清晰系统流畅大 电池一天一充无压力千元机里的王者,手感 好颜值 屏幕 清晰 系统 流畅 电池 一天 一充 压力 千元 机里 王者,商品8.csv
1,手机质量很好，是新机，国补之后超级划算,2026年3月6日,"{'机身颜色': '子夜黑', '存储容量': '6GB+128GB'}",手机质量很好是新机国补之后超级划算,手机 质量 新机 国补 之后 超级 划算,商品8.csv
1,买来送婆婆的生日礼物，机身超薄，非常有质感的一款手机！希望婆婆喜欢💕,2026年3月5日,"{'机身颜色': '车厘子红', '存储容量': '12GB+256GB'}",买来送婆婆的生日礼物机身超薄非常有质感的一款手机希望婆婆喜欢,买来 婆婆 生日礼物 机身 超薄 非常 质感 一款 手机 希望 婆婆 喜欢,商品8.csv
1,买了2台黑的 1台白的 性价比很高，小米工业设计有进步，手感非常好，轻薄。 屏幕素质也不错，千元机里拉满了 白色个人感觉更好看,2026年3月3日,"{'机身颜色': '子夜黑', '存储容量': '6GB+128GB'}",买了台黑的 台白的 性价比很高小米工业设计有进步手感非常好轻薄 屏幕素质也不错千元机里拉满了 白色个人感觉更好看,台白 性价比 小米 工业 设计 进步 手感 非常 轻薄 屏幕 素质 不错 千元 里拉 白色 个人感觉 更好,商品8.csv
1,🎁宝贝收到了，颜色很好看，红红火火喜庆，质感也很好，样子简单！🤩是我想要的！！下次还会再来！,2026年1月4日,"{'机身颜色': '车厘子红', '存储容量': '8GB+128GB'}",宝贝收到了颜色很好看红红火火喜庆质感也很好样子简单是我想要的下次还会再来,宝贝 收到 颜色 好看 红红火火 喜庆 质感 样子 简单 想要 下次 还会,商品8.csv
1,送了手机壳，屏幕也是贴好膜的，拿来直接就可以用了! 感觉挺好，电池耐用，充电很快，性价比高。,2026年1月24日,"{'机身颜色': '星辉白', '存储容量': '8GB+128GB'}",送了手机壳屏幕也是贴好膜的拿来直接就可以用了 感觉挺好电池耐用充电很快性价比高,手机 屏幕 拿来 直接 可以 感觉 电池 耐用 充电 很快 性价比,商品8.csv
1,很不错 给读书的弟弟买，方便他出门时能方便联系。,2026年1月22日,"{'机身颜色': '天青蓝', '存储容量': '8GB+128GB'}",很不错 给读书的弟弟买方便他出门时能方便联系,不错 读书 弟弟 方便 出门时 方便 联系,商品8.csv
