评分,评论内容,评论时间,商品规格,清洗后评论,分词后评论,来源文件
1,用的很好 流畅不卡 电池待机也够用 挺满意,2026年3月3日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",用的很好 流畅不卡 电池待机也够用 挺满意,流畅 不卡 电池 待机 够用 满意,商品1.csv
1,从Note11EPr0换到K80，一直用的是红米，用了三天，感觉k80这次选对了，丝滑，不打游戏，刷视频，听歌，就是掉电快,2026年3月3日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",从换到一直用的是红米用了三天感觉这次选对了丝滑不打游戏刷视频听歌就是掉电快,从换 一直 红米 三天 感觉 这次 选对 打游戏 视频 听歌 就是 掉电,商品1.csv
1,好看大气音质好外表又好看网络速度可以充电超快，非常满意,2026年3月2日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",好看大气音质好外表又好看网络速度可以充电超快非常满意,好看 大气 音质 外表 好看 网络 速度 可以 充电 超快 非常 满意,商品1.csv
1,性能可以，性价比高，国补后12+512，1700 性能和Tp4差不多，跑分k80，235w，tp4，230w，玩游戏没啥区别，就屏幕好了点，可是对比了看不出来的，可是电池差了1000，价格高了150，普通正常使用还不如电池大点的t4p好，超声波解锁还挑钢化膜，以前7-8快可以买2-3张了，现在要20一张才可以用，厚了失效了！,2026年1月26日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",性能可以性价比高国补后 性能和差不多跑分玩游戏没啥区别就屏幕好了点可是对比了看不出来的可是电池差了价格高了普通正常使用还不如电池大点的好超声波解锁还挑钢化膜以前快可以买张了现在要一张才可以用厚了失效了,性能 可以 性价比 高国 补后 性能 差不多 玩游戏 区别 屏幕 可是 对比 看不出来 可是 电池 价格 普通 正常 使用 不如 电池 大点 超声波 解锁 钢化 以前 可以 买张 现在 一张 可以 用厚 失效,商品1.csv
1,1660买的16+256，给老母亲用着正合适，快递也很快第二天就到了，说不上有多好用但是性价比这一块还是可以的！,2026年1月17日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",买的给老母亲用着正合适快递也很快第二天就到了说不上有多好用但是性价比这一块还是可以的,母亲 正合适 快递 很快 第二天 说不上 但是 性价比 一块 还是 可以,商品1.csv
1,买给老爸用的，用了百亿补贴加国补以及以旧换新，简直嘎嘎香啊，性价比超高。手机颜值不错，镜头显高级感，外框使用的是苹果的金属外壳，非常美观！而且，手机充电快，并且不耗电，运行速度快，相机拍照有实况效果，手机功能强大，于我爸而言，是相当的不错啊！喜欢的友友可放心购买～,2026年1月10日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",买给老爸用的用了百亿补贴加国补以及以旧换新简直嘎嘎香啊性价比超高手机颜值不错镜头显高级感外框使用的是苹果的金属外壳非常美观而且手机充电快并且不耗电运行速度快相机拍照有实况效果手机功能强大于我爸而言是相当的不错啊喜欢的友友可放心购买,老爸 百亿 补贴 加国补 以及 以旧换新 简直 嘎嘎 性价比 超高 手机 颜值 不错 镜头 高级 感外 使用 苹果 金属外壳 非常 美观 而且 手机 充电 并且 耗电 运行 速度 相机 拍照 实况 效果 手机 功能强大 而言 相当 不错 喜欢 友友 放心 购买,商品1.csv
1,手机不错，颜值很高，方形的边框挺不错。运行速度很快。,2026年3月4日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",手机不错颜值很高方形的边框挺不错运行速度很快,手机 不错 颜值 方形 边框 挺不错 运行 速度 很快,商品1.csv
1,国补加优惠1600多   用了一个星期后才来评价的！以前用的K40 用了几年  原想换k90  不划算 买的k80 大内存16g！系统没有升级 不是游戏党 不重度玩 一天半充电一次还是可以的 拍照不多摄像头颜色亮度高！存储256g够用了！手机正好一手握住！色彩对比k40升级太多了！充电也快！新系统用着也快 不升级！换机方便 app用着流畅！过度还是好的 铃声大 通话清晰 信号好 ！轻度玩家再用个几年不成问题！好评！,2026年1月24日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",国补加优惠多   用了一个星期后才来评价的以前用的 用了几年  原想换  不划算 买的 大内存系统没有升级 不是游戏党 不重度玩 一天半充电一次还是可以的 拍照不多摄像头颜色亮度高存储够用了手机正好一手握住色彩对比升级太多了充电也快新系统用着也快 不升级换机方便 用着流畅过度还是好的 铃声大 通话清晰 信号好 轻度玩家再用个几年不成问题好评,补加 优惠 一个 星期 评价 以前 几年 原想 不划算 内存 系统 没有 升级 不是 游戏 重度 一天 充电 一次 还是 可以 拍照 摄像头 颜色 亮度高 存储 够用 手机 正好 一手 握住 色彩 对比 升级 太多 充电 系统 升级 换机 方便 流畅 过度 还是 铃声 通话 清晰 信号 轻度 玩家 再用 几年 不成问题 好评,商品1.csv
1,非常不错，电池大，性能强，拍照好，充电快 显示效果：非常细腻,2026年2月24日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",非常不错电池大性能强拍照好充电快 显示效果非常细腻,非常 不错 电池 性能 拍照 充电 显示 效果 非常 细腻,商品1.csv
1,意外，春节期间2天就到了，顺丰是快。生产日期是2026年1月的，开机系统直接是澎湃3，安卓16，更新日期20260101，恢复出厂后那些预装app都没有了，实在是意外之喜。很不错。,2026年2月20日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",意外春节期间天就到了顺丰是快生产日期是年月的开机系统直接是澎湃安卓更新日期恢复出厂后那些预装都没有了实在是意外之喜很不错,意外 春节 期间 顺丰 生产日期 开机 系统 直接 澎湃 安卓 更新 日期 恢复 出厂 那些 预装 没有 实在 意外 之喜 不错,商品1.csv
