评分,评论内容,评论时间,商品规格,清洗后评论,分词后评论,来源文件
1,该用户觉得商品非常好，给出5星好评,2026年2月28日,"{'机身颜色': '暗影黑', '存储容量': '12GB+512GB'}",该用户觉得商品非常好给出星好评,用户 觉得 商品 非常 给出 好评,商品10.csv
1,手机收到了，颜色很好看，拿在手上手感好，使用起来速度挺快，大电量不用天天充电,2026年3月2日,"{'机身颜色': '祥云白', '存储容量': '12GB+256GB'}",手机收到了颜色很好看拿在手上手感好使用起来速度挺快大电量不用天天充电,手机 收到 颜色 好看 拿在手上 手感 使用 起来 速度 挺快 电量 不用 天天 充电,商品10.csv
1,手机挺厚重的。运行还比较流畅能满足日常需要，使用感还不错，推荐购买。,2026年3月3日,"{'机身颜色': '暗影黑', '存储容量': '12GB+256GB'}",手机挺厚重的运行还比较流畅能满足日常需要使用感还不错推荐购买,手机 厚重 运行 比较 流畅 满足 日常 需要 使用 不错 推荐 购买,商品10.csv
1,用了几天来评价，手感不错，运行也很流畅，性能确实很强，而且超长续航，待机时间久。满意👍,2026年2月26日,"{'机身颜色': '阳光橙', '存储容量': '12GB+256GB'}",用了几天来评价手感不错运行也很流畅性能确实很强而且超长续航待机时间久满意,几天 评价 手感 不错 运行 流畅 性能 确实 很强 而且 超长 续航 待机时间 满意,商品10.csv
1,外形外观：高端大气，我喜欢的颜色。而且外壳是很有手感的那种，手感不错。 屏幕音效：屏幕够大，看上去全面屏很舒服，帮妈妈买的，非常喜欢满意。 拍照效果：拍照还是不错的，自拍也还可以。特意晚上光线暗的地方我也拍了一下，效果还不错。,2026年2月21日,"{'机身颜色': '祥云白', '存储容量': '12GB+512GB'}",外形外观高端大气我喜欢的颜色而且外壳是很有手感的那种手感不错 屏幕音效屏幕够大看上去全面屏很舒服帮妈妈买的非常喜欢满意 拍照效果拍照还是不错的自拍也还可以特意晚上光线暗的地方我也拍了一下效果还不错,外形 外观 高端 大气 喜欢 颜色 而且 外壳 手感 那种 手感 不错 屏幕 音效 屏幕 看上去 全面 舒服 妈妈 非常 喜欢 满意 拍照 效果 拍照 还是 不错 可以 特意 晚上 光线 地方 一下 效果 不错,商品10.csv
1,发货很快，性价比很高的手机，买来送长辈的 ,2026年2月25日,"{'机身颜色': '暗影黑', '存储容量': '12GB+256GB'}",发货很快性价比很高的手机买来送长辈的,发货 很快 性价比 手机 买来 长辈,商品10.csv
1,可以，小米手机一般没啥问题，有问题再来追评。,2026年3月3日,"{'机身颜色': '阳光橙', '存储容量': '12GB+512GB'}",可以小米手机一般没啥问题有问题再来追评,可以 小米 手机 一般 问题 问题 再来 追评,商品10.csv
1,红米 Turbo5max 这款手机手感不错，外观也好看，挺流畅的，声音挺大的，日常使用没问题   ,2026年2月11日,"{'机身颜色': '阳光橙', '存储容量': '12GB+256GB'}",红米  这款手机手感不错外观也好看挺流畅的声音挺大的日常使用没问题,红米 手机 手感 不错 外观 好看 流畅 声音 挺大 日常 使用 问题,商品10.csv
1,当天下单。第二天就快递就送到。东西手机很漂亮。用起来还很流畅。性价比可以。还赠送了一部耳机。运行速度快的。待机时间也很长，可以用个一大天。屏幕色彩鲜艳。拍照清晰流畅。画面正宗画面清晰流畅。,2026年2月8日,"{'机身颜色': '阳光橙', '存储容量': '12GB+256GB'}",当天下单第二天就快递就送到东西手机很漂亮用起来还很流畅性价比可以还赠送了一部耳机运行速度快的待机时间也很长可以用个一大天屏幕色彩鲜艳拍照清晰流畅画面正宗画面清晰流畅,当天 下单 第二天 快递 送到 东西 手机 很漂亮 起来 流畅 性价比 可以 赠送 一部 耳机 运行 速度 待机时间 很长 可以 用个 一大 屏幕 色彩鲜艳 拍照 清晰 流畅 画面 正宗 画面 清晰 流畅,商品10.csv
1,手机收到了，颜色好看，系统流程，待机时间长，一直用的小米，挺不错的！,2026年2月9日,"{'机身颜色': '海风蓝', '存储容量': '12GB+256GB'}",手机收到了颜色好看系统流程待机时间长一直用的小米挺不错的,手机 收到 颜色 好看 系统 流程 待机时间 一直 小米 挺不错,商品10.csv
