评分,评论内容,评论时间,商品规格,清洗后评论,分词后评论,来源文件,情感分值,情感倾向
1,通信音质：音质很不错，还带凸显人声的功能，相当于智能降噪，太赞了！ 显示效果：屏幕配置很不错，分辨率很高，打游戏太爽了！ 其他特色：颜值超高，这个浅绿色很喜欢；100w的超级快充太牛了，分分钟就充满电了哈哈！,2026年2月9日,"{'机身颜色': '掠影绿', '存储容量': '12GB+512GB'}",通信音质音质很不错还带凸显人声的功能相当于智能降噪太赞了 显示效果屏幕配置很不错分辨率很高打游戏太爽了 其他特色颜值超高这个浅绿色很喜欢的超级快充太牛了分分钟就充满电了哈哈,通信 音质 音质 不错 凸显 人声 功能 相当于 智能 降噪 太赞 显示 效果 屏幕 配置 不错 分辨率 打游戏 太爽了 其他 特色 颜值 超高 这个 浅绿色 喜欢 超级 充太牛 分钟 充满 哈哈,商品9.csv,1.0,正向
1,手机质量特别不错，大品牌值得信赖，发的快递贼快，非常喜欢。,2026年2月28日,"{'机身颜色': '闪速黑', '存储容量': '12GB+256GB'}",手机质量特别不错大品牌值得信赖发的快递贼快非常喜欢,手机 质量 特别 不错 品牌 值得 信赖 快递 非常 喜欢,商品9.csv,0.9984,正向
1,手机没毛病啊！还是不错的！续航能力还可以吧！只刷短视频不玩游戏的话10小时40分钟剩下百分之51的电量！8300毫安的电池亮屏时间没有想象中那么惊艳的感觉！,2026年3月1日,"{'机身颜色': '闪速黑', '存储容量': '12GB+256GB'}",手机没毛病啊还是不错的续航能力还可以吧只刷短视频不玩游戏的话小时分钟剩下百分之的电量毫安的电池亮屏时间没有想象中那么惊艳的感觉,手机 毛病 还是 不错 续航 能力 可以 视频 玩游戏 的话 小时 分钟 剩下 百分之 电量 毫安 电池 亮屏 时间 没有 想象 那么 惊艳 感觉,商品9.csv,0.9997,正向
1,该用户未填写评价内容,2026年2月23日,"{'机身颜色': '电光紫', '存储容量': '12GB+256GB'}",该用户未填写评价内容,用户 未填写 评价 内容,商品9.csv,0.0993,负向
1,物流快 产品反应快,2026年2月19日,"{'机身颜色': '闪速黑', '存储容量': '12GB+256GB'}",物流快 产品反应快,物流 产品 反应,商品9.csv,0.8587,正向
1,手机非常好，我用手机就打一下王者，别的也不玩，拍照也还可以，续航可以玩一天完全没有问题，物流的话很快，第二天就到了,2026年2月11日,"{'机身颜色': '掠影绿', '存储容量': '12GB+256GB'}",手机非常好我用手机就打一下王者别的也不玩拍照也还可以续航可以玩一天完全没有问题物流的话很快第二天就到了,手机 非常 手机 一下 王者 别的 拍照 可以 续航 可以 一天 完全 没有 问题 物流 的话 很快 第二天,商品9.csv,0.9823,正向
1,手机收到了，旗舰店的客服服务态度非常好，不仅专业且非常有耐心！商家发货速度也很快，用的顺丰发货的，手机非常漂亮！,2026年1月18日,"{'机身颜色': '掠影绿', '存储容量': '16GB+1TB'}",手机收到了旗舰店的客服服务态度非常好不仅专业且非常有耐心商家发货速度也很快用的顺丰发货的手机非常漂亮,手机 收到 旗舰店 客服 服务态度 非常 不仅 专业 非常 耐心 商家 发货 速度 很快 顺丰 发货 手机 非常 漂亮,商品9.csv,0.1164,负向
1,手机到手了，一加ace6t发发布会上就一眼相中了 屏幕素质非常好，业界165hz独一份，打手游非常爽 电池续航给到8000多毫安，甚至可以两天不充电满足了我这个强迫症的使用，价格也是比较实惠，性能完全够用，一加的系统非常流畅,2025年12月31日,"{'机身颜色': '闪速黑', '存储容量': '12GB+256GB'}",手机到手了一加发发布会上就一眼相中了 屏幕素质非常好业界独一份打手游非常爽 电池续航给到多毫安甚至可以两天不充电满足了我这个强迫症的使用价格也是比较实惠性能完全够用一加的系统非常流畅,手机 到手 一加发 发布会 一眼 相中 屏幕 素质 非常 业界 一份 打手 非常 电池 续航 毫安 甚至 可以 两天 充电 满足 这个 强迫症 使用 价格 比较 实惠 性能 完全 够用 一加 系统 非常 流畅,商品9.csv,0.9995,正向
1,已经蹲了好久了，一加ACE6T手机到货了立马用起来，感觉手感很舒服，看着很大气，磨砂感的背面也很有特色，特别是8300毫安的大电量用一天根本不成问题，还有系统165赫兹的高刷很流畅，拍照也挺清晰日常够。,2025年12月31日,"{'机身颜色': '电光紫', '存储容量': '12GB+256GB'}",已经蹲了好久了一加手机到货了立马用起来感觉手感很舒服看着很大气磨砂感的背面也很有特色特别是毫安的大电量用一天根本不成问题还有系统赫兹的高刷很流畅拍照也挺清晰日常够,已经 好久 一加 手机 到货 立马 起来 感觉 手感 舒服 看着 很大 磨砂 背面 特色 特别 毫安 电量 一天 根本 不成问题 还有 系统 赫兹 高刷 流畅 拍照 清晰 日常,商品9.csv,0.9999,正向
1,不要问我为什么没有拍手机的照片，因为手机已经给我家里人用了，所以现在拍不到了只能上传一些无关紧要的照片了，总之手机系统很流畅，很好用 ，电池容量超级大，充电速度很快,2026年1月26日,"{'机身颜色': '电光紫', '存储容量': '12GB+256GB'}",不要问我为什么没有拍手机的照片因为手机已经给我家里人用了所以现在拍不到了只能上传一些无关紧要的照片了总之手机系统很流畅很好用 电池容量超级大充电速度很快,不要 为什么 没有 手机 照片 因为 手机 已经 家里人 所以 现在 不到 只能 上传 一些 无关紧要 照片 总之 手机 系统 流畅 电池容量 超级 充电 速度 很快,商品9.csv,0.988,正向
