评论,分数,产品,名字,评论ID,清洗后评论,分词后评论,来源文件,情感分值,情感倾向
真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物这质量真是太意外了，实物美美哒，触感很好，很推荐哦~,5,已购 幻夜黑 12GB+256GB,谭小小吖,0,真的很喜欢完全超出期望值发货速度非常快包装非常仔细严实运送速度很快很满意的一次购物这质量真是太意外了实物美美哒触感很好很推荐哦,真的 喜欢 完全 超出 期望值 发货 速度 非常 包装 非常 仔细 严实 运送 速度 很快 满意 一次 购物 质量 真是太 意外 实物 美美 触感 推荐,商品9.csv,1.0,正向
"目前情况良好，我是跑外卖的，跑一天晚上回去剩35％的电，所以说挺好用的，续航能力强的，
外形外观：看起来换不错，
屏幕音效：一般
拍照效果：有抓拍功能
待机时间：续航能力强",5,已购 幻夜黑 12GB+256GB,大***L,1,"目前情况良好我是跑外卖的跑一天晚上回去剩的电所以说挺好用的续航能力强的
外形外观看起来换不错
屏幕音效一般
拍照效果有抓拍功能
待机时间续航能力强",目前 情况 良好 外卖 一天 晚上 回去 所以 挺好用 续航 能力 外形 外观 看起来 不错 屏幕 音效 一般 拍照 效果 抓拍 功能 待机时间 续航 能力,商品9.csv,1.0,正向
声音很大，给老爸买的完全够用。手感也不错。第一个也是荣耀手机用了5年，品质没的说。屏幕清晰，系统流程，内存足够。老年人用很好。还有国补，划算,5,已购 幻夜黑 8GB+128GB,jd89ome321,2,声音很大给老爸买的完全够用手感也不错第一个也是荣耀手机用了年品质没的说屏幕清晰系统流程内存足够老年人用很好还有国补划算,声音 很大 老爸 完全 够用 手感 不错 第一个 荣耀 手机 品质 屏幕 清晰 系统 流程 内存 足够 老年人 还有 国补 划算,商品9.csv,1.0,正向
续航真的强，一天一充完全够用，屏幕清晰，用着很流畅。手机手感好，反应快，拍照清晰，外观简约大气，续航和抗摔都很顶，这个价位很值。性价比很高，满意！,5,已购 幻夜黑 8GB+128GB,华仔1124,3,续航真的强一天一充完全够用屏幕清晰用着很流畅手机手感好反应快拍照清晰外观简约大气续航和抗摔都很顶这个价位很值性价比很高满意,续航 真的 一天 一充 完全 够用 屏幕 清晰 流畅 手机 手感 反应 拍照 清晰 外观 简约 大气 续航 这个 价位 很值 性价比 满意,商品9.csv,1.0,正向
"京东手机送货快，价格与官网同步，品质有保障，搭载8300mAh超大容量电池，在同价位机型中续航表现突出，可满足重度使用需求，减少频繁充电的烦恼。
​
2.&nbsp;耐用性设计
主打十面抗摔特性，机身结构经过强化处理，日常使用中更耐磕碰、跌落，适合注重设备耐用性的人群。
​
3.&nbsp;网络体验
明确支持5G网络，能够提供更快的下载、更低的延迟，适配当下高速网络场景与多任务并行的使用需求。",5,已购 竹韵青 12GB+256GB,hangzhixiong,4,"京东手机送货快价格与官网同步品质有保障搭载超大容量电池在同价位机型中续航表现突出可满足重度使用需求减少频繁充电的烦恼

耐用性设计
主打十面抗摔特性机身结构经过强化处理日常使用中更耐磕碰跌落适合注重设备耐用性的人群

网络体验
明确支持网络能够提供更快的下载更低的延迟适配当下高速网络场景与多任务并行的使用需求",京东 手机 送货 价格 官网 同步 品质 保障 搭载 超大 容量 电池 同价位 机型 续航 表现 突出 满足 重度 使用 需求 减少 频繁 充电 烦恼 耐用性 设计 主打 十面 特性 机身 结构 经过 强化 处理 日常 使用 磕碰 跌落 适合 注重 设备 耐用性 人群 网络 体验 明确 支持 网络 能够 提供 更快 下载 延迟 适配 当下 高速 网络 场景 多任务 并行 使用 需求,商品9.csv,1.0,正向
这款手机真的绝了！销量高磨砂质感拿在手里超舒服，金属边框设计高级感满满，保护性也超强，摔了好几次都没事。背面的摄像头模组防护得刚刚好，细节满分！简直完美，颜值党狂喜！强烈推荐！,5,已购 竹韵青 8GB+128GB,jd_186605430,5,这款手机真的绝了销量高磨砂质感拿在手里超舒服金属边框设计高级感满满保护性也超强摔了好几次都没事背面的摄像头模组防护得刚刚好细节满分简直完美颜值党狂喜强烈推荐,手机 真的 销量 磨砂 质感 手里 舒服 金属 边框 设计 高级 满满 保护性 超强 几次 没事 背面 摄像头 模组 防护 刚刚 细节 满分 简直 完美 颜值 狂喜 强烈推荐,商品9.csv,0.9998,正向
"手机收到了，包装的很好👌这个红色很高级，老妈很喜欢。
运行速度：使用简单，运行也很流畅，适合老人使用。
待机时间：待机时间很长，可以几天一充。价格也很实惠！",5,已购 朱砂红 8GB+128GB,j***c,6,"手机收到了包装的很好这个红色很高级老妈很喜欢
运行速度使用简单运行也很流畅适合老人使用
待机时间待机时间很长可以几天一充价格也很实惠",手机 收到 包装 这个 红色 高级 老妈 喜欢 运行 速度 使用 简单 运行 流畅 适合 老人 使用 待机时间 待机时间 很长 可以 几天 一充 价格 实惠,商品9.csv,1.0,正向
这款荣耀x70手机已经购买了一段时间了，也已经使用了一段时间才来这里评价的，这部手机是给自己父亲买的，经过家人这一段时间的使用总体来说都挺好的也都挺不错的，各项功能也都挺均衡的，给家人使用平时光刷刷抖音足足的够用了，京东商城也都挺好的棒棒哒666666,5,已购 幻夜黑 8GB+128GB,j***g,7,这款荣耀手机已经购买了一段时间了也已经使用了一段时间才来这里评价的这部手机是给自己父亲买的经过家人这一段时间的使用总体来说都挺好的也都挺不错的各项功能也都挺均衡的给家人使用平时光刷刷抖音足足的够用了京东商城也都挺好的棒棒哒,荣耀 手机 已经 购买 一段时间 已经 使用 一段时间 这里 评价 部手机 自己 父亲 经过 家人 一段时间 使用 总体 来说 挺不错 各项 功能 均衡 家人 使用 平时 刷刷 抖音 足足 够用 京东 商城 棒棒,商品9.csv,1.0,正向
手机收到了，很好很喜欢这荣耀X70简直是我的掌上&ldquo;小鲜肉&rdquo;，拿在手里轻巧又顺手，屏幕亮得像会发光的糖果，拍照也超清晰，自拍都美到想发朋友圈。包装精致得像送礼用的，快递速度还快得飞起！下次换机还得选它，稳了！,5,已购 月影白 8GB+128GB,tp3s7tmfa981b5,8,手机收到了很好很喜欢这荣耀简直是我的掌上小鲜肉拿在手里轻巧又顺手屏幕亮得像会发光的糖果拍照也超清晰自拍都美到想发朋友圈包装精致得像送礼用的快递速度还快得飞起下次换机还得选它稳了,手机 收到 喜欢 荣耀 简直 掌上 鲜肉 手里 轻巧 顺手 屏幕 亮得 发光 糖果 拍照 清晰 自拍 美到 想发 朋友圈 包装 精致 送礼 快递 速度 飞起 下次 换机,商品9.csv,1.0,正向
手机整体使用体验非常出色，外放声音清晰洪亮，待机时间持久，日常使用完全不用担心电量问题。操作流畅不卡顿，自拍效果自然好看，成像质量令人满意。快递包装严实，配送迅速，服务周到，值得推荐。,5,已购 幻夜黑 8GB+256GB,曦***T,9,手机整体使用体验非常出色外放声音清晰洪亮待机时间持久日常使用完全不用担心电量问题操作流畅不卡顿自拍效果自然好看成像质量令人满意快递包装严实配送迅速服务周到值得推荐,手机 整体 使用 体验 非常 出色 外放 声音 清晰 洪亮 待机时间 持久 日常 使用 完全 不用 担心 电量 问题 操作 流畅 不卡顿 自拍 效果 自然 好看 成像 质量 令人满意 快递 包装 严实 配送 迅速 服务周到 值得 推荐,商品9.csv,1.0,正向
