评论ID,评论内容,商品名称,商品品牌,商品颜色规格,商品价格,清洗后评论,分词后评论,来源文件,情感分值,情感倾向
2317723946889257075,运行流畅，颜值高，操作方便，非常丝滑,一加15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,12GB+256GB原色沙丘,3899,运行流畅颜值高操作方便非常丝滑,运行 流畅 颜值 操作 方便 非常 丝滑,商品10.csv,0.9906,正向
2317704612632594543,系统流畅，很貌美,一加15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,16GB+512GB雾光紫,4799,系统流畅很貌美,系统 流畅 貌美,商品10.csv,0.9741,正向
2316596436004768082,唯品会一定要加会员  各种优惠叠加可以做到平台里最低价  性价比绝了,一加15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,16GB+512GB雾光紫,4799,唯品会一定要加会员  各种优惠叠加可以做到平台里最低价  性价比绝了,唯品 一定 要加 会员 各种 优惠 叠加 可以 做到 平台 最低价 性价比,商品10.csv,0.9564,正向
2312182842194397381,买的时候有点犹豫收到以后会不会好看是不是正品，收到以后就不想退了喜欢上了用了三天了电量也可以流畅度也行颜色也好看反正超喜欢,一加15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,16GB+512GB雾光紫,4799,买的时候有点犹豫收到以后会不会好看是不是正品收到以后就不想退了喜欢上了用了三天了电量也可以流畅度也行颜色也好看反正超喜欢,时候 有点 犹豫 收到 以后 不会 好看 是不是 正品 收到 以后 不想 喜欢 三天 电量 可以 流畅 颜色 好看 反正 喜欢,商品10.csv,0.2396,负向
2305917859190018751,手感不错，性价比也比较高，玩游戏不卡，爱了,一加15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,16GB+512GB黑色,4799,手感不错性价比也比较高玩游戏不卡爱了,手感 不错 性价比 比较 玩游戏 不卡爱,商品10.csv,1.0,正向
2303189938356621203,这个手机的背板看上去很舒服，我还是挺推荐这个手机的，作为一款具有性能又有颜值的手机，非常推荐购买。然后物流非常迅速，顺丰快递送货上门，价格给力，非常推荐购买,一加15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,12GB+256GB原色沙丘,3899,这个手机的背板看上去很舒服我还是挺推荐这个手机的作为一款具有性能又有颜值的手机非常推荐购买然后物流非常迅速顺丰快递送货上门价格给力非常推荐购买,这个 手机 背板 看上去 舒服 还是 推荐 这个 手机 作为 一款 具有 性能 颜值 手机 非常 推荐 购买 然后 物流 非常 迅速 顺丰 快递 送货上门 价格 给力 非常 推荐 购买,商品10.csv,0.9655,正向
2292812385867539066,物流很快，物美价廉，唯品会绝绝子！,一加15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,16GB+512GB黑色,4799,物流很快物美价廉唯品会绝绝子,物流 很快 物美价廉 唯品 会绝 绝子,商品10.csv,0.9694,正向
2317723461557952900,"颜值很高，而且摸起来很舒服触感很丝滑
运行速度我就不多说了，嘎嘎快，非常流畅",一加15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,16GB+512GB原色沙丘,4799,"颜值很高而且摸起来很舒服触感很丝滑
运行速度我就不多说了嘎嘎快非常流畅",颜值 而且 起来 舒服 触感 很丝滑 运行 速度 嘎嘎 非常 流畅,商品10.csv,1.0,正向
2312172069019719826,手机很不错，是新品,一加15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,16GB+512GB雾光紫,4799,手机很不错是新品,手机 不错 新品,商品10.csv,0.9666,正向
2298087904620056922,手机流畅不卡顿，外观设计非常好，买了绝对不后悔！,一加15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,16GB+1TB黑色,5299,手机流畅不卡顿外观设计非常好买了绝对不后悔,手机 流畅 不卡顿 外观设计 非常 绝对 后悔,商品10.csv,0.9976,正向
